Disease,County,Year,Cases,Population
Anaplasmosis,Alameda,2001,0,1465564
Anaplasmosis,Alameda,2002,0,1468468
Anaplasmosis,Alameda,2003,0,1467187
Anaplasmosis,Alameda,2004,0,1465540
Anaplasmosis,Alameda,2005,0,1459882
Anaplasmosis,Alameda,2006,0,1464839
Anaplasmosis,Alameda,2007,0,1476401
Anaplasmosis,Alameda,2008,0,1491781
Anaplasmosis,Alameda,2009,0,1503827
Anaplasmosis,Alameda,2010,0,1510272
Anaplasmosis,Alameda,2011,0,1535986
Anaplasmosis,Alameda,2012,0,1560713
Anaplasmosis,Alameda,2013,0,1584064
Anaplasmosis,Alameda,2014,0,1608614
Anaplasmosis,Alameda,2015,0,1630159
Anaplasmosis,Alameda,2016,1,1647332
Anaplasmosis,Alameda,2017,1,1659750
Anaplasmosis,Alameda,2018,0,1669659
Anaplasmosis,Alameda,2019,1,1678926
Anaplasmosis,Alameda,2020,0,1676458
Anaplasmosis,Alameda,2021,1,1654938
Anaplasmosis,Alameda,2022,0,1638979
Anaplasmosis,Alpine,2001,0,1237
Anaplasmosis,Alpine,2002,0,1248
Anaplasmosis,Alpine,2003,0,1249
Anaplasmosis,Alpine,2004,0,1266
Anaplasmosis,Alpine,2005,0,1208
Anaplasmosis,Alpine,2006,0,1255
Anaplasmosis,Alpine,2007,0,1248
Anaplasmosis,Alpine,2008,0,1208
Anaplasmosis,Alpine,2009,0,1180
Anaplasmosis,Alpine,2010,0,1175
Anaplasmosis,Alpine,2011,0,1181
Anaplasmosis,Alpine,2012,0,1186
Anaplasmosis,Alpine,2013,0,1193
Anaplasmosis,Alpine,2014,0,1199
Anaplasmosis,Alpine,2015,0,1201
Anaplasmosis,Alpine,2016,0,1207
Anaplasmosis,Alpine,2017,0,1211
Anaplasmosis,Alpine,2018,0,1208
Anaplasmosis,Alpine,2019,0,1205
Anaplasmosis,Alpine,2020,0,1201
Anaplasmosis,Alpine,2021,0,1181
Anaplasmosis,Alpine,2022,0,1175
Anaplasmosis,Amador,2001,0,35784
Anaplasmosis,Amador,2002,0,36535
Anaplasmosis,Amador,2003,0,36776
Anaplasmosis,Amador,2004,0,37147
Anaplasmosis,Amador,2005,0,37722
Anaplasmosis,Amador,2006,0,37964
Anaplasmosis,Amador,2007,0,38085
Anaplasmosis,Amador,2008,0,37864
Anaplasmosis,Amador,2009,0,37905
