date,area,cases
2020-02-01,Alameda,3
2020-02-02,Alameda,0
2020-02-03,Alameda,0
2020-02-04,Alameda,0
2020-02-05,Alameda,0
2020-02-06,Alameda,1
2020-02-07,Alameda,0
2020-02-08,Alameda,0
2020-02-09,Alameda,1
2020-02-10,Alameda,0
2020-02-11,Alameda,0
2020-02-12,Alameda,0
2020-02-13,Alameda,0
2020-02-14,Alameda,0
2020-02-15,Alameda,1
2020-02-16,Alameda,0
2020-02-17,Alameda,1
2020-02-18,Alameda,0
2020-02-19,Alameda,0
2020-02-20,Alameda,1
2020-02-21,Alameda,2
2020-02-22,Alameda,1
2020-02-23,Alameda,1
2020-02-24,Alameda,2
2020-02-25,Alameda,0
2020-02-26,Alameda,0
2020-02-27,Alameda,0
2020-02-28,Alameda,1
2020-02-29,Alameda,2
2020-03-01,Alameda,4
2020-03-02,Alameda,1
2020-03-03,Alameda,3
2020-03-04,Alameda,6
2020-03-05,Alameda,4
2020-03-06,Alameda,6
2020-03-07,Alameda,2
2020-03-08,Alameda,5
2020-03-09,Alameda,25
2020-03-10,Alameda,28
2020-03-11,Alameda,21
2020-03-12,Alameda,30
2020-03-13,Alameda,25
2020-03-14,Alameda,19
2020-03-15,Alameda,19
2020-03-16,Alameda,47
2020-03-17,Alameda,29
2020-03-18,Alameda,32
2020-03-19,Alameda,29
2020-03-20,Alameda,36
2020-03-21,Alameda,21
2020-03-22,Alameda,24
2020-03-23,Alameda,39
2020-03-24,Alameda,32
2020-03-25,Alameda,32
2020-03-26,Alameda,21
2020-03-27,Alameda,40
2020-03-28,Alameda,19
2020-03-29,Alameda,27
2020-03-30,Alameda,34
2020-03-31,Alameda,39
2020-04-01,Alameda,66
2020-04-02,Alameda,27
2020-04-03,Alameda,51
2020-04-04,Alameda,36
2020-04-05,Alameda,23
2020-04-06,Alameda,42
2020-04-07,Alameda,31
2020-04-08,Alameda,35
2020-04-09,Alameda,42
2020-04-10,Alameda,50
2020-04-11,Alameda,41
2020-04-12,Alameda,42
2020-04-13,Alameda,43
2020-04-14,Alameda,38
2020-04-15,Alameda,45
2020-04-16,Alameda,50
2020-04-17,Alameda,33
2020-04-18,Alameda,55
2020-04-19,Alameda,25
2020-04-20,Alameda,50
2020-04-21,Alameda,33
2020-04-22,Alameda,30
2020-04-23,Alameda,49
2020-04-24,Alameda,38
2020-04-25,Alameda,31
2020-04-26,Alameda,25
2020-04-27,Alameda,61
2020-04-28,Alameda,60
2020-04-29,Alameda,57
2020-04-30,Alameda,58
2020-05-01,Alameda,60
2020-05-02,Alameda,38
2020-05-03,Alameda,37
2020-05-04,Alameda,58
2020-05-05,Alameda,58
2020-05-06,Alameda,43
2020-05-07,Alameda,38
2020-05-08,Alameda,60
2020-05-09,Alameda,43
2020-05-10,Alameda,43
2020-05-11,Alameda,77
2020-05-12,Alameda,50
2020-05-13,Alameda,64
2020-05-14,Alameda,58
2020-05-15,Alameda,92
2020-05-16,Alameda,34
2020-05-17,Alameda,50
2020-05-18,Alameda,95
2020-05-19,Alameda,73
2020-05-20,Alameda,77
2020-05-21,Alameda,73
2020-05-22,Alameda,66
2020-05-23,Alameda,54
2020-05-24,Alameda,41
2020-05-25,Alameda,73
2020-05-26,Alameda,94
2020-05-27,Alameda,95
2020-05-28,Alameda,83
2020-05-29,Alameda,99
2020-05-30,Alameda,35
2020-05-31,Alameda,26
2020-06-01,Alameda,105
2020-06-02,Alameda,66
2020-06-03,Alameda,76
2020-06-04,Alameda,59
2020-06-05,Alameda,99
2020-06-06,Alameda,51
2020-06-07,Alameda,46
2020-06-08,Alameda,113
2020-06-09,Alameda,81
2020-06-10,Alameda,111
2020-06-11,Alameda,100
2020-06-12,Alameda,129
2020-06-13,Alameda,73
2020-06-14,Alameda,64
2020-06-15,Alameda,147
2020-06-16,Alameda,127
2020-06-17,Alameda,118
2020-06-18,Alameda,123
2020-06-19,Alameda,129
2020-06-20,Alameda,73
2020-06-21,Alameda,62
2020-06-22,Alameda,194
2020-06-23,Alameda,151
2020-06-24,Alameda,180
2020-06-25,Alameda,162
2020-06-26,Alameda,189
2020-06-27,Alameda,86
2020-06-28,Alameda,96
2020-06-29,Alameda,261
2020-06-30,Alameda,208
2020-07-01,Alameda,247
2020-07-02,Alameda,218
2020-07-03,Alameda,126
2020-07-04,Alameda,121
2020-07-05,Alameda,112
2020-07-06,Alameda,250
2020-07-07,Alameda,235
2020-07-08,Alameda,320
2020-07-09,Alameda,290
2020-07-10,Alameda,230
2020-07-11,Alameda,157
2020-07-12,Alameda,103
2020-07-13,Alameda,270
2020-07-14,Alameda,309
2020-07-15,Alameda,341
2020-07-16,Alameda,205
2020-07-17,Alameda,233
2020-07-18,Alameda,142
2020-07-19,Alameda,137
2020-07-20,Alameda,241
2020-07-21,Alameda,255
2020-07-22,Alameda,214
2020-07-23,Alameda,217
2020-07-24,Alameda,243
2020-07-25,Alameda,141
2020-07-26,Alameda,97
2020-07-27,Alameda,239
2020-07-28,Alameda,228
2020-07-29,Alameda,230
2020-07-30,Alameda,221
2020-07-31,Alameda,205
2020-08-01,Alameda,129
2020-08-02,Alameda,112
2020-08-03,Alameda,246
2020-08-04,Alameda,180
2020-08-05,Alameda,217
2020-08-06,Alameda,216
2020-08-07,Alameda,222
2020-08-08,Alameda,110
2020-08-09,Alameda,110
2020-08-10,Alameda,281
2020-08-11,Alameda,240
2020-08-12,Alameda,261
2020-08-13,Alameda,213
2020-08-14,Alameda,281
2020-08-15,Alameda,140
2020-08-16,Alameda,77
2020-08-17,Alameda,291
2020-08-18,Alameda,193
2020-08-19,Alameda,178
2020-08-20,Alameda,158
2020-08-21,Alameda,160
2020-08-22,Alameda,92
2020-08-23,Alameda,94
2020-08-24,Alameda,223
2020-08-25,Alameda,195
2020-08-26,Alameda,157
2020-08-27,Alameda,163
2020-08-28,Alameda,145
2020-08-29,Alameda,83
2020-08-30,Alameda,67
2020-08-31,Alameda,125
2020-09-01,Alameda,147
2020-09-02,Alameda,138
2020-09-03,Alameda,118
2020-09-04,Alameda,103
2020-09-05,Alameda,69
2020-09-06,Alameda,46
2020-09-07,Alameda,58
2020-09-08,Alameda,121
2020-09-09,Alameda,109
2020-09-10,Alameda,79
2020-09-11,Alameda,74
2020-09-12,Alameda,55
2020-09-13,Alameda,59
2020-09-14,Alameda,106
2020-09-15,Alameda,127
2020-09-16,Alameda,106
